"geneID","HS1","HS2","HS3","HS4","HS5","HS6","HS7","CL1","CL2","CL3","CL4","CL5","CL6","CL7","CL8","CL9","CL10","CL11","CL12","CL13","CL14","CL15","CL16","CL17","CL18","CL19","CL20","CL21"
"TNMD",3.17117466033939,2.60973443739162,3.60708709208793,2.78630827290988,3.27594529714095,2.0508376491908,2.56618840683769,-6.65360806727323,-6.40432477151365,-4.08645843877126,-5.20527361862083,-5.46916731377955,-7.46371807767106,0.782954735385438,-2.42175113066338,-3.09856895797725,-1.46829828556143,-2.2339139406201,-4.35242858782275,-3.79834929187555,-1.55728864961937,-3.86856343276165,-4.70341981154183,0.00482795699068123,-6.98911098459326,-4.75820534194985,-6.02960725520494,-1.45138331273435
"FGR",0.54889256602005,2.4230697205297,0.584351447916304,1.85786153393491,1.58204842486663,2.4882908987326,0.772436786579907,5.87166803059389,6.56847556371083,5.80048516151945,5.6750751895352,5.94040041238851,5.97234275179404,4.77536340218001,5.80015116155645,5.8288971374716,5.92668175570468,6.27658998683658,6.13601411747361,5.93048695190781,6.38333601396755,6.15695368306921,6.44721601880067,5.09814352448646,6.3281602924053,6.59394846179911,5.39087935762084,2.97413567041282
"CFTR",4.78145679241379,3.83473006232303,4.47521193370587,3.7187282407409,4.03374439472432,4.26407574178934,3.52459154126515,-1.09901921559559,-0.731899429542157,-1.81796960284536,-1.11781077737049,0.380498413136021,-0.86380523548393,2.87623620669118,2.11808199456812,1.02419093538638,0.639505003973085,0.83104150122067,0.564048056614964,0.604498798395385,0.554421737877645,-0.788836240290919,1.04611445612743,2.51558408566206,-0.143620933648889,-0.480220594650087,0.310242747679688,0.23667268095091
"LAP3",6.1812705380749,6.35166158370245,5.58559633110761,5.87233201674325,6.34945396687653,6.19120643637962,6.62696396467622,8.91764091950753,8.51932769227528,9.41378366404033,9.32446193860057,8.76761925884598,9.0871639540327,8.86070816681607,9.11915603169629,9.09331818344838,8.55363895077407,9.65508959785872,9.81085942575593,9.16330909456475,9.54880845451507,9.26995564209316,9.55156448504109,9.4428928875557,8.86704702925296,9.51201697179205,8.78402364745101,6.50964828842259
"WNT16",4.68567414921189,6.19727846774166,4.81370141996519,4.73528916036879,3.83443558650092,4.71511405392798,4.75055223164189,-1.09901921559559,-1.76046858173893,3.68593112124885,-2.03534861717852,2.2103127857259,3.13153940377798,3.95287973682775,2.8278261199993,2.4974245798682,-2.62583956254791,1.45479648493889,1.17739235870594,3.7732575143733,0.904364208934604,0.123216060433378,2.94475798418299,4.12772958632799,2.50073697584603,2.17489513298152,4.77533041684697,1.90538653136531
"TMEM176A",1.81721019266065,2.15962009090807,2.3012514190284,1.83912497135333,3.42532292117918,3.28210549095787,2.18615735738676,3.83924655290152,4.78364582047055,4.60861163645621,6.0108659378043,4.77994613893418,5.24169832121164,4.56571541528033,6.3671444830262,5.48659126700117,5.81869754336111,5.25582840911377,5.53844365171932,5.98666297553917,5.82465750914561,5.95205070990143,6.23100822908497,5.36295200564516,5.0140555220719,5.48091578986246,4.84460567962594,5.05217744316113
"KLHL13",2.15785054781019,1.90404148999332,1.94559246682849,2.39551831987771,2.85213758823437,1.80699406323792,2.42594876270848,-0.981182725301735,-1.1948714058847,-0.512467055871105,0.522646835942368,0.834613434397555,-0.408435642169868,2.25335747184374,0.385603791394228,0.245960565847242,1.65671429400531,-1.27238808843474,-0.33450667982549,0.108541303732974,0.0438840782830432,0.234247372822122,0.250776498845046,-0.018823311073964,-1.43452213291563,-0.813346896142313,0.120139864299745,2.05957860654303
"CD38",0.474414350060773,0.942202484986912,2.3060926820979,1.45210184824408,0.301940505673895,0.679785043194821,0.640188988281467,7.00694500086401,7.75057243049321,7.13650108327519,7.74510001640371,7.52595205679675,7.20798883194254,5.16051300089178,5.97187248961601,6.91008080632214,6.34016665812583,7.56911251114435,7.63220348226731,7.22801453988593,7.27264903611943,6.6841929817471,7.15199376379368,6.57887529886269,7.15259704213258,7.11007706544975,6.08965812797085,4.50333000000204
"HSPB6",0.455178131197856,1.86178380253161,2.5086718496512,2.43348617007673,3.37722863297813,0.832593886474213,0.388650221285503,-2.26129064449447,-1.88076281545664,-3.45842721615822,-2.88334552373347,-2.53056785844369,-1.31397095816638,0.053312482025091,-1.51904833201829,-2.39230016103396,0.149454150277396,-1.62386045893611,-2.1507947266531,-2.64080801488906,-2.48573538859434,-1.02421430322185,-1.73994568756694,-1.44583345201888,-2.90164814334292,-3.37969371869612,-3.22225233314733,-0.533845472926323
"PDK4",4.07442568653303,5.80457221288216,6.6300734044977,6.54571691647601,4.9944314706995,4.4691820757849,4.60883274424618,1.14729183264707,1.03030345612307,0.0761617620478211,0.62761639554391,0.611206102684473,2.19627781475892,5.17001834667376,2.15008393607217,1.30096195503408,5.34481944505946,4.77966585513837,3.75085922058927,1.9503596353588,4.47407962956004,0.323056639779978,3.31115865338106,5.70594420271317,1.42451694443091,0.435566401446828,1.45420852205932,2.09293720348946
"MPO",-2.67652754801397,-2.2629119449177,-4.1081395171093,-5.41826287133933,-0.920451915662553,-3.10359101592834,-6.32559529638062,-0.820718053108489,0.390091094836453,-0.2330071021242,0.944473500883851,0.145542530335661,-0.924559266563026,-1.60661207637729,-0.502369590871661,-0.451678708112895,0.639505003973085,-0.551104116500799,0.268157822629125,0.414100326213325,1.3641993222021,-0.409131814124356,0.596703913027184,0.319701294344093,-0.722324443898362,1.28181033689803,-0.985213135846483,-2.85577356781369
"SOX8",2.75761005045942,1.09594271896802,1.15596792338972,1.08953176885937,1.58204842486663,2.01295288918595,1.1090329312561,-1.22734331257113,-0.571434757348911,-0.945977215221427,-1.74584199998353,-2.00973569514225,-1.08867864632413,-0.367825216790171,-0.502369590871661,-1.92023171671874,-0.493389266524261,-0.98998835773401,-1.18250358638044,-1.82636366804514,-1.55728864961937,-1.09917636090307,-0.338847379245974,-0.429891908149862,-0.722324443898362,-1.01404424637944,-1.9421444139546,-0.467502978097627
"ITGAL",1.52602845766831,2.45590630253825,2.53777619484372,2.27522408616,2.24947308577976,3.50998596983192,2.03634847735462,6.8671333697214,7.81763989012985,6.5991664009551,7.27425405063552,6.84890468854345,6.84255726522541,5.44432488884794,6.35803958320594,7.2154477459241,7.00869227433846,6.79239108272624,7.14212702888674,6.77260106423088,6.58182908339565,6.82119634570039,7.22901642215166,6.27100505843652,7.02499668660664,7.03206169033151,5.55206410337321,4.4345163859582
